region,kind,value,count,percent
A1,color,e,22,22.68
A1,color,f,22,22.68
A1,color,i,22,22.68
A1,color,j,11,11.34
A1,color,l,4,4.12
A1,color,k,4,4.12
A1,color,g,4,4.12
A1,color,h,4,4.12
A1,color,m,3,3.09
A1,color,,1,1.03
A1,pattern,b1,11,11.34
A1,pattern,d2,6,6.19
A1,pattern,b3,6,6.19
A1,pattern,,5,5.15
A1,pattern,c1y,5,5.15
A1,pattern,a1tx,4,4.12
A1,pattern,c1z,4,4.12
A1,pattern,b2,4,4.12
A1,pattern,b4,4,4.12
A1,pattern,d1,3,3.09
A1,pattern,a2wy,3,3.09
A1,pattern,a2ty,3,3.09
A1,pattern,c2x,2,2.06
A1,pattern,a4tz,2,2.06
A1,pattern,a5uy,2,2.06
A1,pattern,a5ty,2,2.06
A1,pattern,a4vy,2,2.06
A1,pattern,z1,2,2.06
A1,pattern,a3vz,2,2.06
A1,pattern,a5uz,2,2.06
A1,pattern,a2wx,1,1.03
A1,pattern,a2tx,1,1.03
A1,pattern,a2wz,1,1.03
A1,pattern,a1vx,1,1.03
A1,pattern,a4uz,1,1.03
A1,pattern,a1ux,1,1.03
A1,pattern,a4tx,1,1.03
A1,pattern,a1tz,1,1.03
A1,pattern,a5tx,1,1.03
A1,pattern,c1x,1,1.03
A1,pattern,a4ty,1,1.03
A1,pattern,a1vy,1,1.03
A1,pattern,ay,1,1.03
A1,pattern,a3uz,1,1.03
A1,pattern,a3ty,1,1.03
A1,pattern,a3tz,1,1.03
A1,pattern,c2z,1,1.03
A1,pattern,a4vz,1,1.03
A1,pattern,a5ux,1,1.03
A1,pattern,a1wy,1,1.03
A1,pattern,a,1,1.03
A1,pattern,a2vy,1,1.03
A1,pattern,a2z,1,1.03
A2,color,i,24,26.67
A2,color,e,22,24.44
A2,color,f,18,20.0
A2,color,j,10,11.11
A2,color,k,6,6.67
A2,color,g,5,5.56
A2,color,h,2,2.22
A2,color,l,2,2.22
A2,color,,1,1.11
A2,pattern,a1,21,23.33
A2,pattern,a4,16,17.78
A2,pattern,a5,15,16.67
A2,pattern,a3,10,11.11
A2,pattern,a2,7,7.78
A2,pattern,a7,6,6.67
A2,pattern,,6,6.67
A2,pattern,a10,3,3.33
A2,pattern,a8,2,2.22
A2,pattern,a9,2,2.22
A2,pattern,a6,1,1.11
A2,pattern,a11,1,1.11
C6,color,g,29,30.53
C6,color,f,21,22.11
C6,color,i,17,17.89
C6,color,e,13,13.68
C6,color,h,6,6.32
C6,color,j,5,5.26
C6,color,k,2,2.11
C6,color,,1,1.05
C6,color,l,1,1.05
C6,pattern,c1,26,27.37
C6,pattern,c3,16,16.84
C6,pattern,b1,11,11.58
C6,pattern,a3,9,9.47
C6,pattern,c2,8,8.42
C6,pattern,a4,5,5.26
C6,pattern,,5,5.26
C6,pattern,b2,4,4.21
C6,pattern,a2,2,2.11
C6,pattern,d,2,2.11
C6,pattern,c,2,2.11
C6,pattern,c4,1,1.05
C6,pattern,a1,1,1.05
C6,pattern,a5,1,1.05
C6,pattern,a6,1,1.05
C6,pattern,a7,1,1.05
D8,color,4,39,42.86
D8,color,3,25,27.47
D8,color,5,7,7.69
D8,color,7,6,6.59
D8,color,1,4,4.4
D8,color,6,4,4.4
D8,color,2,3,3.3
D8,color,8,2,2.2
D8,color,missing,1,1.1
D8,pattern,5,38,41.76
D8,pattern,(no pattern),33,36.26
D8,pattern,1,7,7.69
D8,pattern,3,5,5.49
D8,pattern,4,4,4.4
D8,pattern,2,2,2.2
D8,pattern,missing,2,2.2
