region,version,rank,code,count,percent
A1,A,1,b1i,6,6.741573033707865
A1,A,2,b3j,4,4.49438202247191
A1,A,3,b4i,3,3.3707865168539324
A1,A,4,a5uyf,2,2.247191011235955
A1,A,5,a5tye,2,2.247191011235955
A1,A,6,d2j,2,2.247191011235955
A1,A,7,c1zf,2,2.247191011235955
A1,A,8,d2k,2,2.247191011235955
A1,A,9,a4vyf,2,2.247191011235955
A1,A,10,d1m,2,2.247191011235955
A1,A,11,a5uze,2,2.247191011235955
A1,A,12,b2e,2,2.247191011235955
A1,A,13,b1f,2,2.247191011235955
A1,A,14,a2wyf,1,1.1235955056179776
A1,A,15,b1l,1,1.1235955056179776
A1,A,16,d2l,1,1.1235955056179776
A1,A,17,c2xN,1,1.1235955056179776
A1,A,18,a4txf,1,1.1235955056179776
A1,A,19,c1yj,1,1.1235955056179776
A1,A,20,a2txf,1,1.1235955056179776
A1,A,21,a1vxe,1,1.1235955056179776
A1,A,22,a2tyj,1,1.1235955056179776
A1,A,23,a2wzf,1,1.1235955056179776
A1,A,24,a2wxi,1,1.1235955056179776
A1,A,25,z1i,1,1.1235955056179776
A1,A,26,a3vze,1,1.1235955056179776
A1,A,27,a4uze,1,1.1235955056179776
A1,A,28,b1g,1,1.1235955056179776
A1,A,29,z1h,1,1.1235955056179776
A1,A,30,a4tze,1,1.1235955056179776
A1,A,31,N,1,1.1235955056179776
A1,A,32,a1uxf,1,1.1235955056179776
A1,A,33,f,1,1.1235955056179776
A1,A,34,a1tze,1,1.1235955056179776
A1,A,35,a5txe,1,1.1235955056179776
A1,A,36,a1txi,1,1.1235955056179776
A1,A,37,a4tzf,1,1.1235955056179776
A1,A,38,a2tyi,1,1.1235955056179776
A1,A,39,d2i,1,1.1235955056179776
A1,A,40,a4tyi,1,1.1235955056179776
A1,A,41,a1txj,1,1.1235955056179776
A1,A,42,ayj,1,1.1235955056179776
A1,A,43,a3uzf,1,1.1235955056179776
A1,A,44,c1xj,1,1.1235955056179776
A1,A,45,a1vyh,1,1.1235955056179776
A1,A,46,b2i,1,1.1235955056179776
A1,A,47,a3vzf,1,1.1235955056179776
A1,A,48,c1yi,1,1.1235955056179776
A1,A,49,a3tyf,1,1.1235955056179776
A1,A,50,a3tzh,1,1.1235955056179776
A1,A,51,c1ye,1,1.1235955056179776
A1,A,52,c2ze,1,1.1235955056179776
A1,A,53,a4vzf,1,1.1235955056179776
A1,A,54,a1txh,1,1.1235955056179776
A1,A,55,a5uxf,1,1.1235955056179776
A1,A,56,c1yf,1,1.1235955056179776
A1,A,57,a1wyi,1,1.1235955056179776
A1,A,58,c2xe,1,1.1235955056179776
A1,A,59,c1ze,1,1.1235955056179776
A1,A,60,ae,1,1.1235955056179776
A1,A,61,Ra3vzfLb1f,1,1.1235955056179776
A1,A,62,Ra4vxiLa4txi,1,1.1235955056179776
A1,A,63,b3k,1,1.1235955056179776
A1,A,64,a2vye,1,1.1235955056179776
A1,A,65,b2l,1,1.1235955056179776
A1,A,66,b3i,1,1.1235955056179776
A1,A,67,a1txg,1,1.1235955056179776
A1,A,68,i,1,1.1235955056179776
A1,A,69,a2tyf,1,1.1235955056179776
A1,B,1,b1i,6,6.818181818181818
A1,B,2,b3j,4,4.545454545454546
A1,B,3,b4i,3,3.409090909090909
A1,B,4,a5tye,2,2.272727272727273
A1,B,5,d2j,2,2.272727272727273
A1,B,6,d2k,2,2.272727272727273
A1,B,7,a5uyf,2,2.272727272727273
A1,B,8,a4vyf,2,2.272727272727273
A1,B,9,d1m,2,2.272727272727273
A1,B,10,a5uze,2,2.272727272727273
A1,B,11,b2e,2,2.272727272727273
A1,B,12,b1f,2,2.272727272727273
A1,B,13,c1zf,2,2.272727272727273
A1,B,14,b1l,1,1.1363636363636365
A1,B,15,a1txi,1,1.1363636363636365
A1,B,16,d2l,1,1.1363636363636365
A1,B,17,a2txf,1,1.1363636363636365
A1,B,18,c1yj,1,1.1363636363636365
