serial_number,region,raw,norm,class,cleaned,status,right,left,color,pattern
M1,A1,a5tye,a5tye,full,a5tye,unique,,,e,a5ty
M2k,A1,b1l,b1l,full,b1l,unique,,,l,b1
M3,A1,a5uyf,a5uyf,full,a5uyf,unique,,,f,a5uy
M4,A1,d2k,d2k,full,d2k,unique,,,k,d2
M5,A1,a2wyf,a2wyf,full,a2wyf,unique,,,f,a2wy
M6H,A1,b1k,b1k,full,b1k,unique,,,k,b1
M7,A1,a4tzf,a4tzf,full,a4tzf,unique,,,f,a4tz
M8,A1,a5tye,a5tye,full,a5tye,unique,,,e,a5ty
M9,A1,b1f,b1f,full,b1f,unique,,,f,b1
M10,A1,c1yj,c1yj,full,c1yj,unique,,,j,c1y
H12,A1,d2l,d2l,full,d2l,unique,,,l,d2
H13S,A1,a1txi,a1txi,full,a1txi,unique,,,i,a1tx
H99,A1,a4vyf,a4vyf,full,a4vyf,unique,,,f,a4vy
H14,A1,a4vyf,a4vyf,full,a4vyf,unique,,,f,a4vy
H15m,A1,b1i,b1i,full,b1i,unique,,,i,b1
K16,A1,b1i,b1i,full,b1i,unique,,,i,b1
K106,A1,d1m,d1m,full,d1m,unique,,,m,d1
K17f,A1,c2xN,c2xN,partial,c2x,partial_ambiguous,,,,c2x
S18,A1,a1vxe,a1vxe,full,a1vxe,unique,,,e,a1vx
S100,A1,a2txf,a2txf,full,a2txf,unique,,,f,a2tx
S19,A1,a4txf,a4txf,full,a4txf,unique,,,f,a4tx
S20,A1,b3j,b3j,full,b3j,unique,,,j,b3
F21,A1,a2wxi,a2wxi,full,a2wxi,unique,,,i,a2wx
F104,A1,a2wf,a2wf,full,a2wf,unique,,,f,a2w
F22,A1,a2tyj,a2tyj,full,a2tyj,unique,,,j,a2ty
F23,A1,z1i,z1i,full,z1i,unique,,,i,z1
F24,A1,z1h,z1h,full,z1h,unique,,,h,z1
F26,A1,b1g,b1g,full,b1g,unique,,,g,b1
Y27,A1,a3vze,a3vze,full,a3vze,unique,,,e,a3vz
Y101,A1,a4uze,a4uze,full,a4uze,unique,,,e,a4uz
Y28,A1,N,N,N,,N,,,,
Y29,A1,c1zf,c1zf,full,c1zf,unique,,,f,c1z
Y30,A1,a4tze,a4tze,full,a4tze,unique,,,e,a4tz
Y31,A1,f,f,full,f,partial_ambiguous,,,f,
Y107,A1,a1uxf,a1uxf,full,a1uxf,unique,,,f,a1ux
Y32,A1,b2e,b2e,full,b2e,unique,,,e,b2
Y102,A1,b2e,b2e,full,b2e,unique,,,e,b2
Y33,A1,a1tze,a1tze,full,a1tze,unique,,,e,a1tz
Y34,A1,a5uze,a5uze,full,a5uze,unique,,,e,a5uz
Y35,A1,a5txe,a5txe,full,a5txe,unique,,,e,a5tx
Y36,A1,d2i,d2i,full,d2i,unique,,,i,d2
Y39,A1,b3j,b3j,full,b3j,unique,,,j,b3
Y40,A1,b3j,b3j,full,b3j,unique,,,j,b3
Y41,A1,a2tyi,a2tyi,full,a2tyi,unique,,,i,a2ty
Y42,A1,a4tyi,a4tyi,full,a4tyi,unique,,,i,a4ty
Y43,A1,a1txj,a1txj,full,a1txj,unique,,,j,a1tx
Y44,A1,a5uyf,a5uyf,full,a5uyf,unique,,,f,a5uy
Y45,A1,c1xj,c1xj,full,c1xj,unique,,,j,c1x
Y46,A1,a1vyh,a1vyh,full,a1vyh,unique,,,h,a1vy
Y47,A1,b1f,b1f,full,b1f,unique,,,f,b1
Y48,A1,ayj,ayj,full,ayj,unique,,,j,ay
Y37,A1,a3uzf,a3uzf,full,a3uzf,unique,,,f,a3uz
Sh109,A1,a3zf,a3zf,full,a3zf,unique,,,f,a3z
Sh49,A1,b1i,b1i,full,b1i,unique,,,i,b1
Sh50,A1,b2i,b2i,full,b2i,unique,,,i,b2
Sh51,A1,5u8,5u8,full,5u8,unique,,,,5u8
Sh52,A1,b4i,b4i,full,b4i,unique,,,i,b4
Sh53,A1,b3j,b3j,full,b3j,unique,,,j,b3
Sh54,A1,c1yi,c1yi,full,c1yi,unique,,,i,c1y
Sh55,A1,a5uze,a5uze,full,a5uze,unique,,,e,a5uz
Sh57,A1,a3tyf,a3tyf,full,a3tyf,unique,,,f,a3ty
Sh59,A1,c1zf,c1zf,full,c1zf,unique,,,f,c1z
Sl60,A1,d2j,d2j,full,d2j,unique,,,j,d2
Sl61,A1,a3tzh,a3tzh,full,a3tzh,unique,,,h,a3tz
Sl62,A1,c1ye,c1ye,full,c1ye,unique,,,e,c1y
Sl103,A1,c2ze,c2ze,full,c2ze,unique,,,e,c2z
Sl64,A1,a4vzf,a4vzf,full,a4vzf,unique,,,f,a4vz
