serial number,name,area,main poligon,gender,cams_spotted,social dynamic,שיוך,pack name,seen with,notes,time on camera,#sights,#right,#left,#front,#no good,#pictures,code,A1,A2,B3,B4,B5,C6,C7,D8,D9,A1_norm,A1_class,A1_cleaned,A1_right,A1_left,A1_color,A1_pattern,A1_status,A2_norm,A2_class,A2_cleaned,A2_right,A2_left,A2_color,A2_pattern,A2_status,B3_norm,B3_class,B3_cleaned,B3_right,B3_left,B3_color,B3_pattern,B3_status,B4_norm,B4_class,B4_cleaned,B4_right,B4_left,B4_color,B4_pattern,B4_status,B5_norm,B5_class,B5_cleaned,B5_right,B5_left,B5_color,B5_pattern,B5_status,C6_norm,C6_class,C6_cleaned,C6_right,C6_left,C6_color,C6_pattern,C6_status,C7_norm,C7_class,C7_cleaned,C7_right,C7_left,C7_color,C7_pattern,C7_status,D8_norm,D8_class,D8_cleaned,D8_right,D8_left,D8_color,D8_pattern,D8_status,D9_norm,D9_class,D9_cleaned,D9_right,D9_left,D9_color,D9_pattern,D9_status
M1,Segen,makhfi,makhfi,m,27,pack,Makhfi original,Makhfi original,,"very dark fur, alpha's brother, born in 2015, cub's babysitter",29.10.20,1,4.0,0.0,0.0,0.0,4,a5tye_a1e_N_P_N_a3f_a1_a2b5_a2,a5tye,a1e,N,P,N,a3f,a1,a2b5,a2,a5tye,full,a5tye,,,e,a5ty,unambiguous,a1e,full,a1e,,,e,a1,unambiguous,N,N,,,,,,N,P,P,,,,,,P,N,N,,,,,,N,a3f,full,a3f,,,f,a3,unambiguous,a1,full,a1,,,,,unambiguous,a2b5,full,a2b5,,,2,5,unambiguous,a2,full,a2,,,,,unambiguous
M2k,,makhfi,makhfi,,29,group,makhfi new,makhfi new,,,18.9.20,2,3.0,0.0,1.0,3.0,7,b1l_a3i_b_c2_c2_a3i_c_a4b5_a2,b1l,a3i,b,c2,c2,a3i,c,a4b5,a2,b1l,full,b1l,,,l,b1,unambiguous,a3i,full,a3i,,,i,a3,unambiguous,b,full,b,,,,,partial_ambiguous,c2,full,c2,,,,,partial_ambiguous,c2,full,c2,,,,,partial_ambiguous,a3i,full,a3i,,,i,a3,unambiguous,c,full,c,,,,,unambiguous,a4b5,full,a4b5,,,4,5,unambiguous,a2,full,a2,,,,,unambiguous
M3,,makhfi,makhfi,m,29,unknown,makhfi unknown,,,probably one of 2019's cubs of original pack,10.11.20,1,5.0,0.0,0.0,0.0,5,a5uyf_a4_a2_c1_c1_a4g_c_P_P,a5uyf,a4,a2,c1,c1,a4g,c,P,P,a5uyf,full,a5uyf,,,f,a5uy,unambiguous,a4,full,a4,,,,a4,partial_ambiguous,a2,full,a2,,,,,partial_ambiguous,c1,full,c1,,,,,partial_ambiguous,c1,full,c1,,,,,partial_ambiguous,a4g,full,a4g,,,g,a4,unambiguous,c,full,c,,,,,unambiguous,P,P,,,,,,P,P,P,,,,,,P
M4,Foxy,makhfi,makhfi,f,30,pack,Makhfi original,Makhfi original,,"golden fur, pink noze, Odem's daughter",26.10.20,1,0.0,2.0,2.0,0.0,4,d2k_a7kl_b_b_b_c2j_b2_a5_a2,d2k,a7k,b,b,b,c2j,b2,a5,a2,d2k,full,d2k,,,k,d2,unambiguous,a7k,full,a7k,,,k,a7,unambiguous,b,full,b,,,,,partial_ambiguous,b,full,b,,,,,partial_ambiguous,b,full,b,,,,,partial_ambiguous,c2j,full,c2j,,,j,c2,unambiguous,b2,full,b2,,,,,unambiguous,a5,full,a5,,,5,(no pattern),partial_ambiguous,a2,full,a2,,,,,unambiguous
M5,Odem,makhfi,makhfi,f,30,pack,Makhfi original,Makhfi original,1 unrecognized,"alpha female, dark mark on front-right leg",1-9.11.20,2,4.0,3.0,0.0,1.0,8,a2wyf_fRa6La1_a3_c1_c1_c2g_b1_a3b1_a3,a2wyf,fRa6La1,a3,c1,c1,c2g,b1,a3b1,a3,a2wyf,full,a2wyf,,,f,a2wy,unambiguous,fRa6La1,asymmetric,,a6f,a1f,,,asymmetric,a3,full,a3,,,,,partial_ambiguous,c1,full,c1,,,,,partial_ambiguous,c1,full,c1,,,,,partial_ambiguous,c2g,full,c2g,,,g,c2,unambiguous,b1,full,b1,,,,,unambiguous,a3b1,full,a3b1,,,3,1,unambiguous,a3,full,a3,,,,,unambiguous
M6H,,makhfi,makhfi,f,"30, 26,  22",unknown,makhfi unknown,,,,26.8.20-14.11.20,2,2.0,2.0,1.0,0.0,5,b1k_a1i_a3_c1_c1_c3i_a2_a3b5_b2,b1k,a1i,a3,c1,c1,c3i,a2,a3b5,a2,b1k,full,b1k,,,k,b1,unambiguous,a1i,full,a1i,,,i,a1,unambiguous,a3,full,a3,,,,,partial_ambiguous,c1,full,c1,,,,,partial_ambiguous,c1,full,c1,,,,,partial_ambiguous,c3i,full,c3i,,,i,c3,unambiguous,a2,full,a2,,,,,unambiguous,a3b5,full,a3b5,,,3,5,unambiguous,a2,full,a2,,,,,unambiguous
M7,,makhfi,makhfi,f,30,pack,Makhfi original,Makhfi original,1 unrecognized?,,20.11.20,1,2.0,0.0,0.0,0.0,2,a4tzf_a2f_a1_N_P_c3f_a3_a3b2_a2,a4tzf,a2f,a1,N,P,c3f,a3,a3b2,a2,a4tzf,full,a4tzf,,,f,a4tz,unambiguous,a2f,full,a2f,,,f,a2,unambiguous,a1,full,a1,,,,,partial_ambiguous,N,N,,,,,,N,P,P,,,,,,P,c3f,full,c3f,,,f,c3,unambiguous,a3,full,a3,,,,,unambiguous,a3b2,full,a3b2,,,3,2,unambiguous,a2,full,a2,,,,,unambiguous
M8,,makhfi,makhfi,,30,pack,Makhfi original,Makhfi original,2 unrecognized,light-brown eyes,20.11.20,1,1.0,0.0,0.0,0.0,1,a5tye_a4e_a2_P_P_c3e_a_a3b3_a4,a5tye,a4e,a2,P,P,c3e,a,a3b3,a4,a5tye,full,a5tye,,,e,a5ty,unambiguous,a4e,full,a4e,,,e,a4,unambiguous,a2,full,a2,,,,,partial_ambiguous,P,P,,,,,,P,P,P,,,,,,P,c3e,full,c3e,,,e,c3,unambiguous,a,full,a,,,,,partial_ambiguous,a3b3,full,a3b3,,,3,3,unambiguous,a4,full,a4,,,,,unambiguous
M9,,makhfi,makhfi,m,30,pack,Makhfi original,Makhfi original,,"very short tail, grandpa",26.11.20,1,3.0,0.0,0.0,0.0,3,b1f_a4f_a2_c1_c1_c3f_a3_a4b3_a4,b1f,a4f,a2,c1,c1,c3f,a3,a4b3,a4,b1f,full,b1f,,,f,b1,unambiguous,a4f,full,a4f,,,f,a4,unambiguous,a2,full,a2,,,,,partial_ambiguous,c1,full,c1,,,,,partial_ambiguous,c1,full,c1,,,,,partial_ambiguous,c3f,full,c3f,,,f,c3,unambiguous,a3,full,a3,,,,,unambiguous,a4b3,full,a4b3,,,4,3,unambiguous,a4,full,a4,,,,,unambiguous
M10,,makhfi,makhfi,,30,unknown,makhfi unknown,,,,2.12.20,1,1.0,0.0,2.0,0.0,3,c1yj_a5j_b_d_d_c3i_b1_a3bP_P,c1yj,a5j,b,d,d,c3i,b1,a3bP,P,c1yj,full,c1yj,,,j,c1y,unambiguous,a5j,full,a5j,,,j,a5,unambiguous,b,full,b,,,,,partial_ambiguous,d,full,d,,,,,unambiguous,d,full,d,,,,,partial_ambiguous,c3i,full,c3i,,,i,c3,unambiguous,b1,full,b1,,,,,unambiguous,a3bP,partial,a3b,,,3,missing,partial_ambiguous,P,P,,,,,,P
