serial number,area,main poligon,#pictures,A1,A1_status,A1_cleaned,A1_right,A1_left,A1_color,A1_pattern,A2,A2_status,A2_cleaned,A2_right,A2_left,A2_color,A2_pattern,B3,B3_status,B3_cleaned,B3_right,B3_left,B3_color,B3_pattern,B4,B4_status,B4_cleaned,B4_right,B4_left,B4_color,B4_pattern,B5,B5_status,B5_cleaned,B5_right,B5_left,B5_color,B5_pattern,C6,C6_status,C6_cleaned,C6_right,C6_left,C6_color,C6_pattern,C7,C7_status,C7_cleaned,C7_right,C7_left,C7_color,C7_pattern,D8,D8_status,D8_cleaned,D8_right,D8_left,D8_color,D8_pattern,D9,D9_status,D9_cleaned,D9_right,D9_left,D9_color,D9_pattern
M1,makhfi,makhfi,4,a5tye,unique,a5tye,,,e,a5ty,a1e,unique,a1e,,,e,a1,N,N,,,,,,P,P,,,,,,N,N,,,,,,a3f,unique,a3f,,,f,a3,a1,unique,a1,,,,,a2b5,unique,a2b5,,,2,5,a2,unique,a2,,,,
M2k,makhfi,makhfi,7,b1l,unique,b1l,,,l,b1,a3i,unique,a3i,,,i,a3,b,partial_ambiguous,b,,,,,c2,partial_ambiguous,c2,,,,,c2,partial_ambiguous,c2,,,,,a3i,unique,a3i,,,i,a3,c,unique,c,,,,,a4b5,unique,a4b5,,,4,5,a2,unique,a2,,,,
M3,makhfi,makhfi,5,a5uyf,unique,a5uyf,,,f,a5uy,a4,partial_ambiguous,a4,,,,a4,a2,partial_ambiguous,a2,,,,,c1,partial_ambiguous,c1,,,,,c1,partial_ambiguous,c1,,,,,a4g,unique,a4g,,,g,a4,c,unique,c,,,,,P,P,,,,,,P,P,,,,,
M4,makhfi,makhfi,4,d2k,unique,d2k,,,k,d2,a7k,unique,a7k,,,k,a7,b,partial_ambiguous,b,,,,,b,partial_ambiguous,b,,,,,b,partial_ambiguous,b,,,,,c2j,unique,c2j,,,j,c2,b2,unique,b2,,,,,a5,partial_ambiguous,a5,,,5,,a2,unique,a2,,,,
M5,makhfi,makhfi,8,a2wyf,unique,a2wyf,,,f,a2wy,fRa6La1,asymmetric,,a6f,a1f,,,a3,partial_ambiguous,a3,,,,,c1,partial_ambiguous,c1,,,,,c1,partial_ambiguous,c1,,,,,c2g,unique,c2g,,,g,c2,b1,unique,b1,,,,,a3b1,unique,a3b1,,,3,1,a3,unique,a3,,,,
M6H,makhfi,makhfi,5,b1k,unique,b1k,,,k,b1,a1i,unique,a1i,,,i,a1,a3,partial_ambiguous,a3,,,,,c1,partial_ambiguous,c1,,,,,c1,partial_ambiguous,c1,,,,,c3i,unique,c3i,,,i,c3,a2,unique,a2,,,,,a3b5,unique,a3b5,,,3,5,a2,unique,a2,,,,
M7,makhfi,makhfi,2,a4tzf,unique,a4tzf,,,f,a4tz,a2f,unique,a2f,,,f,a2,a1,partial_ambiguous,a1,,,,,N,N,,,,,,P,P,,,,,,c3f,unique,c3f,,,f,c3,a3,unique,a3,,,,,a3b2,unique,a3b2,,,3,2,a2,unique,a2,,,,
M8,makhfi,makhfi,1,a5tye,unique,a5tye,,,e,a5ty,a4e,unique,a4e,,,e,a4,a2,partial_ambiguous,a2,,,,,P,P,,,,,,P,P,,,,,,c3e,unique,c3e,,,e,c3,a,partial_ambiguous,a,,,,,a3b3,unique,a3b3,,,3,3,a4,unique,a4,,,,
M9,makhfi,makhfi,3,b1f,unique,b1f,,,f,b1,a4f,unique,a4f,,,f,a4,a2,partial_ambiguous,a2,,,,,c1,partial_ambiguous,c1,,,,,c1,partial_ambiguous,c1,,,,,c3f,unique,c3f,,,f,c3,a3,unique,a3,,,,,a4b3,unique,a4b3,,,4,3,a4,unique,a4,,,,
M10,makhfi,makhfi,3,c1yj,unique,c1yj,,,j,c1y,a5j,unique,a5j,,,j,a5,b,partial_ambiguous,b,,,,,d,unique,d,,,,,d,partial_ambiguous,d,,,,,c3i,unique,c3i,,,i,c3,b1,unique,b1,,,,,a3bP,partial_ambiguous,a3b,,,,,P,P,,,,,
H12,hazeka,hazeka,3,d2l,unique,d2l,,,l,d2,a1k,unique,a1k,,,k,a1,N,N,,,,,,N,N,,,,,,N,N,,,,,,P,P,,,,,,a1,unique,a1,,,,,a5b5,unique,a5b5,,,5,5,a1,unique,a1,,,,
H13S,"Hazeka, saki",hazeka,5,a1txi,unique,a1txi,,,i,a1tx,a3i,unique,a3i,,,i,a3,b,partial_ambiguous,b,,,,,c1a,unique,c1a,,,,,a1a,unique,a1a,,,,,c1g,unique,c1g,,,g,c1,b2,unique,b2,,,,,a4b5,unique,a4b5,,,4,5,a4,unique,a4,,,,
